Restaurant_Name,Address,Latitude,Longitude,Cuisines,Aggregate_Rating,Rating_Text,Has_Online_Delivery,Radius,AppName,Time,Phone
Biryani Kitchen,"FB 11, 1st Floor, Inorbit Mall, EPIP Area, Whitefield, Bangalore",12.9786926,77.7287998,"North Indian, Chinese, Biryani, South Indian",4,Very Good,No,1,Zomato,15,7978808268
YUMLOK,"Inorbit Mall, G.Floor,  EPIP Area, Whitefield, Bangalore",12.9798026,77.7279949,Street Food,3.9,Good,Yes,1,Zomato,15,8835142206
Terracotta - Vivanta By Taj,"Vivanta By Taj, ITPB, Whitefield, Bangalore",12.9873169,77.7373843,"Afghani, North Indian, Lucknowi",3.7,Good,No,1,Zomato,15,8849419365
NH8,"F-21, First Floor, EPIP, Inorbit Mall, Whitefield, Bangalore",12.9791111,77.7287774,Rajasthani,3.7,Good,No,1,Zomato,14,7867860934
Latitude - Vivanta By Taj,"Vivanta By Taj, ITPB, Whitefield, Bangalore",12.9872285,77.7373843,"North Indian, Fast Food, Asian, Italian",3.6,Good,No,1,Zomato,14,7280252642
The Square Table,"Level 1, Inorbit Mall, Plot 75, EPIP Area, Whitefield, Bangalore",12.9790502,77.7288892,"North Indian, Maharashtrian, South Indian",3.6,Good,Yes,1,Zomato,14,8802386454
California Burrito,"Food Court, 1st Floor, Inorbit Mall, 8th Road, EPIP Zone, Whitefield, Bangalore Bengalore, Whitefield",12.9786926,77.7287998,"Mexican, Fast Food",3.6,Good,No,1,Zomato,14,7608236587
Khaaja Chowk,"Formule 1 Hotel, 4, EPIP Zone, Beside Symphony Teleca Building, Whitefield, Bangalore",12.9862035,77.7325556,North Indian,3.5,Good,Yes,1,Zomato,14,8839161626
The Chocolate Heaven,"G2-04, Inorbit Mall, EPIP Area, Whitefield, Bangalore",12.9796472,77.7284421,"Fast Food, Bakery, Fast Food, Desserts, Beverages",3.4,Average,Yes,1,Zomato,15,8246732635
Happy Endings,"Ascendas Park Square, Third Floor, ITPB, Whitefield, Bangalore",12.9870135,77.7365795,"Bakery, Desserts",3.4,Average,No,1,Zomato,15,8892124675
Caramel - Vivanta by Taj,"Vivanta By Taj, ITPB, Whitefield, Bangalore",12.9872285,77.7373843,"Desserts, Bakery",3.4,Average,No,1,Zomato,14,8405904521
The Chocolate Room,"4th Floor, Ascendas Park Square Mall, Whitefield, Bangalore",12.987207,77.73684181,"Cafe, Fast Food, Desserts, Bakery",3.3,Average,No,1,Zomato,14,8899921712
Andhra Kafe,"ITPL main road, opposite prestige shantiniketan, Hoodi village, bangalore, Whitefield, Bangalore",12.988964,77.7264331,Andhra,3.3,Average,No,1,Zomato,14,8926559867
Y Not Breakfast,"Whitefield, Bangalore",0,0,"North Indian, South Indian, Healthy Food",3.3,Average,No,1,Zomato,14,7706553898
Delhi Restaurant,"84, Near Itpl Main Gate, Next To Taj Vivanta, Whitefield, Bangalore",12.9870688,77.7377419,"North Indian, Mughlai, Chinese",3.2,Average,Yes,1,Zomato,15,8254484428
Hotel Alpha,"107/P4, Praveen Transport Complex, Opposite Service Gate C, Pattandur Agrahara, Whitefield, Bangalore",12.9850216,77.7327791,"Biryani, North Indian, Chinese",3.2,Average,Yes,1,Zomato,14,8159718812
Baba Fattoosh,"Foyer Infinity Apartments, Whitefield, Bangalore",12.9782327,77.7339863,North Indian,3.2,Average,No,1,Zomato,14,7667661703
Chatpata India,"Food Court, Ascendas Park Square Mall, ITPL Main Road, Whitefield, Bangalore",12.9868581,77.7370266,North Indian,3.2,Average,No,1,Zomato,14,8368938498
Megha's Lunch-Box,"ITPL Backgate 3, Agrahara, Whitefield, Bangalore",12.9843867,77.7333604,North Indian,3.2,Average,No,1,Zomato,15,8109506429
Basaveshwara Kanawali,"Abdul Rehman Complex, ITPL Back Gate 3, Pattandur, Agrahara Road, Whitefield, Bangalore",12.9844793,77.7334498,South Indian,3.1,Average,No,1,Zomato,15,7264514908
Cube Crest Cafe,"Gate 1, Tower 24, Prestige Shantiniketan, ITPL Main Road, Whitefield, Bangalore",12.9890109,77.7265197,"North Indian, Chinese, Fast Food",3.1,Average,No,1,Zomato,14,8550113237
